time,temp_C,rh_pct,wind_ms,ghi_wm2,diffuse_wm2
2024-07-08T00:00,24.0,96,1.87,0.0,0.0
2024-07-08T01:00,23.7,98,3.2,0.0,0.0
2024-07-08T02:00,23.4,99,2.33,0.0,0.0
2024-07-08T03:00,23.1,99,2.06,0.0,0.0
2024-07-08T04:00,23.1,99,1.8,0.0,0.0
2024-07-08T05:00,23.1,99,1.14,0.0,0.0
2024-07-08T06:00,23.3,98,1.17,0.0,0.0
2024-07-08T07:00,23.5,97,0.92,2.0,2.0
2024-07-08T08:00,24.0,94,0.1,52.0,50.0
2024-07-08T09:00,24.8,89,1.42,204.0,139.0
2024-07-08T10:00,26.0,85,0.89,295.0,236.0
2024-07-08T11:00,27.5,79,0.41,384.0,275.0
2024-07-08T12:00,28.5,74,0.61,481.0,329.0
2024-07-08T13:00,29.9,72,1.5,844.0,179.0
2024-07-08T14:00,30.9,69,1.94,825.0,211.0
2024-07-08T15:00,31.7,65,2.0,881.0,191.0
2024-07-08T16:00,32.0,63,1.92,789.0,160.0
2024-07-08T17:00,32.2,60,1.92,647.0,209.0
2024-07-08T18:00,30.3,65,1.92,462.0,178.0
2024-07-08T19:00,30.3,66,1.77,318.0,129.0
2024-07-08T20:00,29.5,71,2.86,152.0,72.0
2024-07-08T21:00,27.7,70,1.94,19.0,19.0
2024-07-08T22:00,26.6,79,1.53,0.0,0.0
2024-07-08T23:00,26.2,78,1.22,0.0,0.0
2024-07-09T00:00,25.5,83,1.5,0.0,0.0
2024-07-09T01:00,25.0,86,1.75,0.0,0.0
2024-07-09T02:00,24.4,87,1.33,0.0,0.0
2024-07-09T03:00,24.4,87,2.0,0.0,0.0
2024-07-09T04:00,23.6,90,1.43,0.0,0.0
2024-07-09T05:00,23.1,92,1.3,0.0,0.0
2024-07-09T06:00,22.9,92,1.4,0.0,0.0
2024-07-09T07:00,22.9,92,1.7,4.0,3.0
2024-07-09T08:00,24.3,87,1.9,96.0,47.0
2024-07-09T09:00,26.1,84,2.69,260.0,107.0
2024-07-09T10:00,27.6,77,3.05,380.0,198.0
2024-07-09T11:00,28.5,75,2.84,528.0,199.0
2024-07-09T12:00,29.8,70,2.08,713.0,221.0
2024-07-09T13:00,30.9,66,2.47,831.0,169.0
2024-07-09T14:00,31.5,60,2.25,654.0,424.0
2024-07-09T15:00,30.0,67,2.33,331.0,277.0
2024-07-09T16:00,28.9,73,3.81,476.0,292.0
2024-07-09T17:00,29.9,69,3.86,651.0,174.0
2024-07-09T18:00,29.7,70,3.9,478.0,183.0
2024-07-09T19:00,29.6,70,4.44,288.0,146.0
2024-07-09T20:00,28.1,76,4.32,114.0,75.0
2024-07-09T21:00,26.1,80,3.57,14.0,14.0
2024-07-09T22:00,25.2,82,4.14,0.0,0.0
2024-07-09T23:00,24.8,85,4.65,0.0,0.0
2024-07-10T00:00,24.5,91,4.25,0.0,0.0
2024-07-10T01:00,24.5,93,4.05,0.0,0.0
2024-07-10T02:00,24.3,94,3.84,0.0,0.0
2024-07-10T03:00,24.1,95,3.47,0.0,0.0
2024-07-10T04:00,24.8,92,4.0,0.0,0.0
2024-07-10T05:00,24.5,89,4.32,0.0,0.0
2024-07-10T06:00,23.5,83,3.73,0.0,0.0
2024-07-10T07:00,22.7,79,3.3,4.0,4.0
2024-07-10T08:00,22.9,76,3.7,93.0,50.0
2024-07-10T09:00,23.3,76,4.36,276.0,84.0
2024-07-10T10:00,24.3,71,4.55,468.0,117.0
2024-07-10T11:00,25.9,64,5.08,654.0,131.0
2024-07-10T12:00,27.2,58,4.9,740.0,223.0
2024-07-10T13:00,28.5,53,4.88,890.0,171.0
2024-07-10T14:00,29.5,48,4.78,934.0,164.0
2024-07-10T15:00,30.2,45,4.22,932.0,150.0
2024-07-10T16:00,31.2,42,4.52,860.0,148.0
2024-07-10T17:00,31.0,41,5.04,726.0,148.0
2024-07-10T18:00,30.7,40,4.7,534.0,171.0
2024-07-10T19:00,30.3,44,3.2,365.0,108.0
2024-07-10T20:00,28.4,53,2.39,176.0,63.0
2024-07-10T21:00,24.9,65,2.52,28.0,18.0
2024-07-10T22:00,24.2,67,2.82,0.0,0.0
2024-07-10T23:00,23.5,70,2.6,0.0,0.0
2024-07-11T00:00,22.8,76,3.11,0.0,0.0
2024-07-11T01:00,22.4,77,3.26,0.0,0.0
2024-07-11T02:00,22.1,74,3.33,0.0,0.0
2024-07-11T03:00,21.6,75,3.18,0.0,0.0
2024-07-11T04:00,21.0,77,2.91,0.0,0.0
2024-07-11T05:00,20.5,79,2.72,0.0,0.0
2024-07-11T06:00,20.0,81,2.69,0.0,0.0
2024-07-11T07:00,19.8,81,2.83,4.0,3.0
2024-07-11T08:00,21.4,76,3.14,101.0,47.0
2024-07-11T09:00,23.8,66,3.35,270.0,108.0
2024-07-11T10:00,25.6,60,3.3,470.0,138.0
2024-07-11T11:00,26.9,55,2.75,659.0,152.0
2024-07-11T12:00,27.9,51,2.28,812.0,163.0
2024-07-11T13:00,28.9,49,1.75,921.0,146.0
2024-07-11T14:00,29.6,47,1.84,970.0,132.0
2024-07-11T15:00,30.2,46,1.65,941.0,151.0
2024-07-11T16:00,30.6,43,1.41,800.0,196.0
2024-07-11T17:00,31.0,42,1.73,682.0,187.0
